Name,Location,country,Price for 2,Dining Rating,Delivery Rating,food,Dining Rating Count
Fruit Shop On Greams Road,Thousand Lights,Western,350,4.5,4.6,Pizza Hamburger ,609
BOATS - Based On A True Story,Besant Nagar,Chinese,1800,4.2,3.9,Dimsum Dimsum ,954
Amelie's,Alwarpet,Dessert,900,4.3,3.9,Cookie Brownies ,1464
Urban Spatula,Anna Nagar West,Western,800,4.4,4.3,Salad Steak ,794
Oxygen,Potheri,Dessert,500,4.0,3.6,Brownies Donut ,780
Shree Konar Vilas,Purasavakkam,Japanese,500,4.1,3.8,Udon Donburi ,222
Subway,Anna Nagar West,Chinese,500,4.4,4.0,Wontons Dumplings ,697
Pind,Velachery,Western,900,4.3,4.2,Sandwich Salad ,2994
Mainland China,"Phoenix Market City, Velachery",Western,1800,4.6,4.2,Hamburger Steak ,1498
Kumarakom,Velachery,Chinese,600,4.0,3.9,Dumplings Dimsum ,670
City Square Cafeteria,Egmore,Dessert,200,4.1,3.7,Brownies Cupcake ,611
Bhangra,"Mayajaal Multiplex, Kanathur",Western,800,4.9,4.0,Steak Sandwich ,2109
Rayar's Mess,Mylapore,Japanese,100,4.7,4.3,Tempura Ramen ,904
Hotel Safari,Royapettah,Korean,450,4.1,4.2,Bibimbap Bulgogi ,516
VB Signature,Nungambakkam,Japanese,1000,4.5,3.8,Sushi Ramen ,1611
Blind Ch3mistry,Nungambakkam,Korean,700,4.5,4.0,Bibimbap Japche ,1258
Fisherman's Fare,Egmore,Western,900,2.9,3.9,Pizza Pizza ,374
Madras2Chennai,Washermenpet,Chinese,800,4.1,4.0,SpringRoll Wontons ,509
North East Kitchen,Egmore,Western,450,4.5,4.3,Salad Pizza ,705
AlMaza,Anna Nagar East,Dessert,1000,4.6,4.2,Cupcake Cookie ,764
Jonah's Bistro,Besant Nagar,Western,1000,4.4,3.9,Steak Salad ,1485
Mughal Biriyani,Besant Nagar,Chinese,350,4.0,4.1,Dimsum Dumplings ,323
Loiee Mithai & Rasoi,Selaiyur,Dessert,650,4.1,4.0,Donut Brownies ,459
Roll Over,Anna Nagar East,Chinese,450,4.3,3.7,Dimsum Dimsum ,721
Pizza Hut,Nungambakkam,Dessert,600,2.9,3.6,Cupcake Brownies ,447
Ratna Cafe,Kilpauk,Western,400,3.9,4.0,Salad Steak ,653
Masaledaar Desi Rasoi,Egmore,Japanese,500,4.3,4.3,Udon Sushi ,682
The Feast,Anna Nagar East,Dessert,800,4.3,3.9,Cookie Donut ,652
601 - The Park,"The Park, Nungambakkam",Chinese,2700,4.2,3.9,Wontons Dimsum ,825
Pluto's Restaurant,Choolaimedu,Japanese,700,4.1,3.3,Sushi Donburi ,429
The Chinese Story,Porur,Chinese,1000,4.4,4.1,Dumplings SpringRoll ,593
Nellai Vairamaligai,T. Nagar,Chinese,500,4.3,4.0,Wontons Dumplings ,529
Vrindavan,"New Woodlands Hotel, Mylapore",Chinese,500,4.2,3.9,SpringRoll Dumplings ,589
Azzuri Bay,Adyar,Korean,1000,4.3,4.0,Tteokbokki Bulgogi ,2430
Thambi Vilas,T. Nagar,Korean,500,3.9,3.1,Tteokbokki Tteokbokki ,849
Double Roti,Anna Nagar East,Chinese,900,4.3,4.0,Dumplings Dimsum ,866
The Fat Boy,Alwarpet,Korean,800,4.4,4.3,Bulgogi Tteokbokki ,1047
Cream Centre,RA Puram,Japanese,1600,4.4,4.3,Donburi Omuraisu ,1307
Ente Keralam,Alwarpet,Dessert,750,4.3,4.2,Cupcake Cookie ,696
Ashvita Bistro,Alwarpet,Korean,1000,4.1,3.8,Japche Bibimbap ,769
Coco Jaunt 1728,Anna Nagar East,Dessert,650,4.1,3.6,Cupcake Donut ,1218
Cream & Fudge,Nungambakkam,Japanese,350,4.2,4.2,Donburi Udon ,443
The Kati Roll Shop,Gopalapuram,Western,300,4.2,4.1,Steak Pizza ,437
Atho Man,Royapuram,Korean,400,4.0,4.0,Bulgogi Tteokbokki ,354
Kaidi Kitchen,Mylapore,Japanese,1500,4.2,4.3,Donburi Udon ,2277
Rain Forest,Adyar,Chinese,800,4.2,4.4,Dumplings SpringRoll ,1534
Hub at ECR,East Coast Road (ECR),Western,2000,4.4,3.9,Salad Pizza ,1510
Pause Bar & Kitchen,"OMR Food Street, Kandanchavadi",Chinese,1200,4.3,3.3,Dumplings Dimsum ,607
The Bayleaf,Gopalapuram,Dessert,800,4.3,4.0,Brownies Donut ,542
The Sandwich Shop,West Mambalam,Japanese,300,4.9,4.4,Sushi Sushi ,584
SpiceKlub,Nungambakkam,Dessert,1700,4.6,3.9,Donut Brownies ,1132
Amdavadi,T. Nagar,Western,600,4.0,3.6,Hamburger Steak ,954
BurgerMan,Besant Nagar,Western,450,4.5,4.3,Steak Steak ,1009
Superstar Pizza,Anna Nagar East,Dessert,750,4.2,3.6,Cookie Cupcake ,346
Courtallam Border Rahmath Kadai,T. Nagar,Korean,400,4.2,4.0,Japche Tteokbokki ,888
Momo Sa-Khang by Kailash Kitchen,Choolaimedu,Western,350,4.8,4.5,Hamburger Salad ,1658
La Chocolate,Egmore,Chinese,800,4.0,4.5,Wontons Wontons ,256
Copper Chimney,Gopalapuram,Western,1200,4.3,4.2,Hamburger Salad ,906
Cibo,Ashok Nagar,Japanese,800,3.9,3.4,Ramen Ramen ,917
Pupil,"TNHB Complex, Besant Nagar",Western,650,4.2,4.3,Salad Pizza ,847
Olive and Basil,Adyar,Dessert,600,4.2,3.5,Cupcake Brownies ,1044
Eden,Besant Nagar,Japanese,750,4.2,4.0,Udon Tempura ,920
The Bark,Alwarpet,Korean,1000,4.3,4.0,Bulgogi Bibimbap ,697
Animal Kingdom,Adyar,Korean,1300,4.1,3.9,Bulgogi Japche ,2733
Bombay Brasserie,Nungambakkam,Chinese,1500,4.7,4.2,Dumplings Dimsum ,2546
Delhi Highway,Nungambakkam,Japanese,1200,4.2,3.9,Udon Donburi ,1025
Eatalica,RA Puram,Dessert,700,4.3,4.4,Donut Donut ,794
Basil With A Twist,T. Nagar,Dessert,1500,4.6,4.2,Brownies Brownies ,2102
Royal Sandwich Shop,Alwarpet,Japanese,150,4.7,3.9,Udon Udon ,1304
Links,Purasavakkam,Western,250,4.3,3.6,Salad Hamburger ,695
Nungambakkam Bismi Biriyani,Nungambakkam,Dessert,600,4.1,4.0,Cookie Brownies ,964
Sigree,Adyar,Western,1500,4.0,4.0,Hamburger Hamburger ,1068
Tovo,Mylapore,Japanese,1600,4.4,4.0,Donburi Tempura ,2018
Babal Da Punjabi Dabha,Egmore,Western,1000,4.3,4.3,Salad Steak ,371
Gossip Fusion Bistro,Kanathur,Japanese,1500,4.9,4.3,Omuraisu Tempura ,996
Brick House Bistro,Anna Nagar East,Western,700,4.0,2.7,Hamburger Sandwich ,1281
Honey Spice,GST Road,Chinese,500,4.3,3.6,SpringRoll Dimsum ,1276
The Summer House Eatery,Alwarpet,Japanese,800,4.3,3.8,Donburi Omuraisu ,720
Chamiers Cafe,RA Puram,Dessert,1000,4.3,4.2,Cookie Brownies ,1100
Writer's Cafe,Gopalapuram,Western,600,4.4,4.0,Hamburger Steak ,1881
Kabab Corner,Egmore,Japanese,450,4.9,4.3,Udon Tempura ,1053
Flower Drum,Egmore,Western,800,4.3,4.0,Salad Steak ,788
Fromage,MRC Nagar,Korean,1000,4.4,3.9,Bibimbap Bibimbap ,1296
The Marina,Nungambakkam,Dessert,1600,4.8,4.3,Cookie Cupcake ,1082
Crimson Chakra,Adyar,Chinese,1000,4.1,4.0,Dimsum Dimsum ,1625
Bhakshana By Paati Veedu,"Paati Veedu, T.Nagar",Dessert,1500,4.1,3.9,Cupcake Brownies ,332
Lyfe By Soul Garden Bistro,Kilpauk,Japanese,800,4.2,3.9,Sushi Tempura ,689
Mathsya,Egmore,Korean,800,4.3,4.1,Bibimbap Japche ,1467
Cafe Central,T. Nagar,Japanese,850,4.3,4.2,Omuraisu Sushi ,1013
Kipling Cafe,"Kipling, East Coast Road (ECR)",Korean,2400,4.2,3.5,Bibimbap Japche ,2164
Va Pho - Asian Canteen,Gopalapuram,Western,1400,4.5,3.9,Hamburger Salad ,1040
27 Culinary Street,Mylapore,Western,800,4.3,3.9,Steak Sandwich ,1646
Cream Stone,Alwarpet,Japanese,350,4.5,4.0,Tempura Donburi ,1208
Osteria By That Madras Place,Adyar,Western,800,4.2,4.3,Hamburger Hamburger ,2591
The Waterfall Restaurant,Vadapalani,Chinese,800,4.2,4.1,Dumplings Wontons ,1353
Punjab Grill,"Phoenix Market City, Velachery",Korean,2700,4.4,4.0,Bulgogi Bulgogi ,1907
Tuscana Pizzeria,Nungambakkam,Western,1200,4.2,4.1,Sandwich Steak ,1322
Sera - The Tapas Bar & Restaurant,Gopalapuram,Japanese,1600,4.5,3.4,Udon Donburi ,964
Mash Resto Cafe,Besant Nagar,Japanese,800,4.0,3.9,Donburi Sushi ,1437
Bistro 1427,Mylapore,Korean,700,4.3,3.2,Tteokbokki Bibimbap ,784
Kobe Sizzlers,"Phoenix Market City, Velachery",Dessert,1100,4.4,3.7,Brownies Brownies ,2261
Mr. Papdi,Velachery,Chinese,400,4.0,3.9,Wontons Wontons ,390
Prems Graama Bhojanam,Adyar,Japanese,500,4.9,4.1,Sushi Tempura ,1511
Hoppipola,"The Spring Hotel, Nungambakkam",Chinese,1400,4.0,3.4,Wontons Wontons ,1179
The Chocolate Heaven,Alwarpet,Korean,800,4.2,4.0,Tteokbokki Bulgogi ,705
Smoke Hub Barbeque,Vadapalani,Dessert,1500,4.3,3.5,Cookie Brownies ,1247
Joker's Kitchen,Alwarpet,Western,800,4.4,3.7,Hamburger Pizza ,1043
Faruuzi Multicuisine Restaurant,GST Road,Western,1000,4.3,4.1,Steak Sandwich ,1104
Jalpaan,Nungambakkam,Western,1100,4.3,4.2,Sandwich Hamburger ,1475
Haagen Dazs,Nungambakkam,Korean,800,4.6,4.1,Bulgogi Tteokbokki ,949
Bombay Halwa House,Kilpauk,Japanese,500,4.2,3.9,Sushi Ramen ,563
Sapthagiri Tiffin Centre,T. Nagar,Dessert,150,4.3,3.9,Brownies Cupcake ,1335
Uttar Bhojan,Valasaravakkam,Japanese,350,4.1,3.9,Tempura Ramen ,381
Hamsa,Adyar,Western,1800,4.6,4.4,Hamburger Steak ,825
Haven Sampoorna,Velachery,Korean,1300,4.2,3.9,Japche Japche ,837
The Royals Biryani,Perungudi,Chinese,400,3.9,3.8,SpringRoll Dumplings ,413
The Cascade,Nungambakkam,Chinese,1000,4.3,4.1,SpringRoll Dimsum ,613
Pakwan Chennai,T. Nagar,Japanese,1200,4.3,4.2,Tempura Donburi ,838
Aasife & Brothers Biriyani Centre,Thuraipakkam,Western,850,2.6,4.1,Salad Pizza ,1197
Sigree Global Grill,"The Spring Hotel, Nungambakkam",Korean,1200,4.3,4.2,Bibimbap Tteokbokki ,847
Shyam's Bombay Halwa House,T. Nagar,Western,600,4.5,3.9,Hamburger Hamburger ,798
Asia Kitchen by Mainland China,"The Spring Hotel, Nungambakkam",Chinese,1800,4.5,4.1,Dumplings Dimsum ,872
Bhatinda Xpress,Thuraipakkam,Chinese,1500,4.2,3.7,Dimsum Dimsum ,763
Waffles Thru The Day,Adyar,Dessert,800,4.2,3.9,Cupcake Brownies ,897
Tryst Cafe,Neelangarai,Korean,800,4.1,4.0,Bibimbap Bibimbap ,627
Chai Galli,Besant Nagar,Japanese,600,4.3,4.2,Sushi Ramen ,688
Sea Mount,Aminijikarai,Japanese,500,4.0,4.0,Ramen Sushi ,999
Benjarong,Alwarpet,Japanese,2000,4.7,4.3,Ramen Sushi ,848
Hotelkaar Biriyani,T. Nagar,Dessert,350,4.1,3.7,Donut Brownies ,1078
Pandia's Avenue,Royapuram,Chinese,750,4.0,4.2,Dimsum Wontons ,419
Nivis Kitchen,Egatoor,Korean,600,4.1,3.7,Tteokbokki Japche ,1191
Al Ajwain,Porur,Dessert,600,4.1,3.8,Brownies Cupcake ,450
Krispy Kreme,"Express Avenue Mall,Royapettah",Japanese,400,4.6,4.2,Omuraisu Tempura ,711
Bindaas Rasoi,Sholinganallur,Korean,1000,4.3,3.6,Bulgogi Bibimbap ,851
Curry and Spices,Kodambakkam,Japanese,650,4.2,4.0,Ramen Tempura ,796
Pangali Virundhu,Ambattur,Korean,450,4.1,4.0,Bibimbap Tteokbokki ,311
Aachi Chettinadu,Porur,Western,400,4.0,3.5,Pizza Hamburger ,324
The Good Spot,Adyar,Korean,600,4.3,3.5,Bulgogi Bibimbap ,840
Dragon's Den,Adyar,Dessert,500,4.3,3.8,Cupcake Cupcake ,837
Real Food Mall,Potheri,Korean,300,3.9,3.7,Japche Tteokbokki ,997
Little North,Kilpauk,Dessert,800,4.2,4.1,Cupcake Cupcake ,655
BNB Live Grill,Navallur,Dessert,750,4.1,3.1,Cupcake Cupcake ,777
Mr. Sandwich,Pallavaram,Western,150,3.5,2.7,Steak Steak ,517
Rumali Restaurant,Potheri,Chinese,300,3.9,3.7,Wontons Dimsum ,677
ID,"Sathyam Cinemas Complex, Royapettah",Japanese,300,4.5,4.4,Tempura Donburi ,760
Dallay,Velachery,Chinese,350,4.2,3.9,SpringRoll Dumplings ,590
Coastal Aroma - Seafood Restaurant,Thuraipakkam,Dessert,900,4.2,3.3,Donut Donut ,698
Mithai Mandir,Vadapalani,Chinese,300,4.3,4.2,Dimsum Dumplings ,438
Rangis',Nungambakkam,Dessert,600,4.1,4.2,Cookie Donut ,351
Quality Restaurant,Selaiyur,Korean,600,3.9,3.7,Japche Bibimbap ,241
Excelent Biriyani,West Mambalam,Western,300,3.8,3.8,Sandwich Steak ,489
Zuka,Mylapore,Japanese,700,4.4,4.0,Omuraisu Tempura ,715
Hola,Citadines,Japanese,1200,4.2,3.8,Tempura Tempura ,649
Zeeshan Restaurant - Apna Hyderabadi Food,Perungudi,Japanese,650,3.9,3.5,Omuraisu Ramen ,646
Absolute Thai,Foodies Kitchen,Chinese,1000,4.5,4.0,Dumplings Wontons ,692
Asian Station,Anna Nagar East,Western,1500,4.3,4.0,Salad Steak ,633
Mana Andhra,Nungambakkam,Korean,600,4.1,4.2,Bibimbap Japche ,551
Kuuraku,Vadapalani,Chinese,1200,4.5,3.9,Wontons Wontons ,358
Dunkin' Donuts,"Phoenix Market City, Velachery",Dessert,600,3.9,3.8,Brownies Donut ,637
Aasife Biriyani,GST Road,Western,750,3.7,3.9,Sandwich Steak ,502
Daalchini,Chromepet,Dessert,500,3.8,3.8,Cupcake Cookie ,566
Aasife & Brothers Biriyani Centre,St. Thomas Mount,Japanese,750,3.0,3.4,Tempura Omuraisu ,766
Donut House,Egmore,Chinese,400,4.1,3.5,SpringRoll Dimsum ,434
Tangerine,Alwarpet,Japanese,1500,4.2,3.9,Omuraisu Udon ,458
Convo@C20,Adyar,Dessert,1000,4.1,3.2,Cupcake Cupcake ,417
Kim Ling,Anna Nagar East,Western,900,4.3,4.4,Salad Salad ,533
Petuk,Perungudi,Japanese,250,4.4,4.1,Tempura Ramen ,640
Gangotree,Gopalapuram,Korean,400,4.1,4.0,Japche Japche ,621
Thoondil,Akkarai,Dessert,800,4.0,3.9,Brownies Brownies ,645
Mylai Karpagambal Mess,Mylapore,Chinese,200,3.8,4.2,Dumplings Wontons ,631
Hotel Mass,Adambakkam,Dessert,300,4.2,4.0,Donut Brownies ,644
Moonlight Takeaway & Delivery,,Korean,450,3.7,4.0,Japche Tteokbokki ,438
Parambriym,Anna Nagar West,Dessert,650,3.9,3.9,Donut Donut ,557
Food By Night,Perungudi,Western,500,2.7,3.0,Salad Hamburger ,599
The Miner Diner,Nungambakkam,Chinese,800,3.9,3.4,SpringRoll Dimsum ,626
Layalee,Ekkaduthangal,Dessert,700,4.4,4.1,Donut Brownies ,586
Prive Restaurant,Mylapore,Dessert,1200,4.3,4.3,Cookie Cookie ,619
Wangs Kitchen,Nungambakkam,Japanese,800,3.4,3.5,Omuraisu Omuraisu ,625
Cheesy Juicy Burgers,Anna Nagar East,Western,400,4.3,4.3,Salad Pizza ,588
Amaravathi,Gopalapuram,Korean,800,3.7,4.4,Tteokbokki Tteokbokki ,475
Bombay Kulfi,Adyar,Western,200,4.9,4.3,Sandwich Hamburger ,534
Naga Reju Fast Food,Choolaimedu,Korean,300,4.1,3.8,Japche Japche ,379
Kake Da Punjabi Dhabba,Perungudi,Dessert,600,4.0,3.5,Brownies Brownies ,382
New Kurinji,Pallavaram,Dessert,650,3.9,3.8,Cupcake Cookie ,531
Kuttanad Restaurant,Adyar,Korean,600,4.4,3.6,Bulgogi Japche ,581
Thaligai,Mylapore,Japanese,400,4.2,4.0,Omuraisu Sushi ,575
Nolita,Nungambakkam,Korean,700,4.1,3.9,Bibimbap Bibimbap ,340
Food Nirvana,RA Puram,Chinese,800,4.4,4.3,Wontons SpringRoll ,547
Ox & Tomato,Teynampet,Chinese,850,4.0,4.0,Dumplings SpringRoll ,498
Teppan,Alwarpet,Korean,2000,4.3,4.1,Tteokbokki Japche ,363
Mahamudra,Mylapore,Korean,700,4.0,3.9,Japche Bibimbap ,572
Masaledaar Firangi Tadka,Nungambakkam,Chinese,900,4.0,3.9,Dumplings Dimsum ,294
Dhabba Express,Teynampet,Western,500,2.4,3.6,Pizza Pizza ,559
Cafe CakeBee,Alwarpet,Western,650,4.4,4.3,Pizza Salad ,436
Scooped,Velachery,Japanese,300,4.2,4.2,Sushi Ramen ,301
Al Rayan,Selaiyur,Japanese,450,3.9,3.6,Udon Udon ,708
The Velveteen Rabbit,RA Puram,Western,2000,4.3,3.9,Sandwich Steak ,516
Eagle Boys Pizza,Adyar,Western,450,3.7,3.7,Hamburger Salad ,456
Barbecue Kitchen,Ambattur,Chinese,500,4.1,3.5,Wontons Dimsum ,589
Italiano,Anna Nagar East,Chinese,550,4.1,3.7,Dumplings Wontons ,504
SantÃÂ© Spa Cuisine,Nungambakkam,Chinese,1300,4.4,4.4,Wontons SpringRoll ,378
Dhaba In The City,Perungudi,Western,400,4.0,3.8,Pizza Pizza ,452
Nasi Kandar Pelita,T. Nagar,Japanese,800,4.0,3.9,Ramen Udon ,465
Mirchi Cuisine,Thuraipakkam,Japanese,850,4.1,3.9,Sushi Donburi ,547
The Noodle Theory,Kilpauk,Korean,450,4.2,4.0,Tteokbokki Bulgogi ,445
AGS Biryani's,GST Road,Western,500,4.0,4.1,Pizza Sandwich ,533
The English Tearoom,Alwarpet,Korean,1100,4.2,4.0,Bulgogi Bibimbap ,522
Bharat Bistro,Teynampet,Dessert,1600,4.4,3.8,Cupcake Cupcake ,488
Ponnusamy Hotels,Nungambakkam,Dessert,700,3.9,3.9,Cupcake Brownies ,361
The Madras Diner Multicuisine Restaurant,Mogappair,Dessert,700,4.3,4.1,Cupcake Donut ,462
Cafe G - Holiday Inn,Holiday Inn Chennai OMR IT Expressway,Dessert,3000,4.0,3.9,Brownies Cupcake ,285
Grillz,Injambakkam,Dessert,1000,4.1,3.9,Cupcake Brownies ,566
Hotel Virudhunagar,T. Nagar,Japanese,500,4.0,4.0,Tempura Sushi ,497
Ovenfresh Pizza's and Cake's,Velachery,Japanese,500,4.1,3.3,Tempura Omuraisu ,454
Episode 23,Anna Nagar East,Chinese,800,4.1,3.8,Dumplings Dumplings ,490
Krishnavillasam - The Home Of Classics,Adyar,Korean,850,3.0,3.5,Bulgogi Bibimbap ,499
The Kandyan,Besant Nagar,Dessert,450,4.4,4.5,Cookie Cupcake ,482
Famous Theory,"Hotel Centre Point, Sholinganallur",Western,1200,3.9,3.7,Salad Hamburger ,492
Nungambakkam Chaat Corner,Nungambakkam,Western,200,4.1,3.5,Steak Steak ,511
Hotel Sennthur,Thousand Lights,Western,450,4.1,4.1,Salad Salad ,507
China Town,Gopalapuram,Korean,1200,4.1,4.3,Tteokbokki Tteokbokki ,468
Pally Tastee Fast Food,Perambur,Korean,850,3.9,4.0,Bulgogi Bulgogi ,198
The Mayflower,T. Nagar,Chinese,1000,4.2,3.8,Dumplings Dumplings ,436
Novelty Tea House,Sowcarpet,Chinese,300,4.2,3.9,SpringRoll SpringRoll ,383
Locofeast,Nungambakkam,Western,800,4.0,3.7,Sandwich Sandwich ,400
